objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"18MEX","18485","4","1","0","0","0","0","0","0","0","0","0","3","","","","","","29303139","6.04815","7.8356","3.8387","2267","740","thing","18MEX","3","5","210","210","210","2005","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"504","175878","0","","0","0","0","0","0","0","1","0","0","1","","Traded for Puerto Rico.","","","","31119993","5.86993","6.28622","3.47","3210","3699","thing","504","2","4","120","120","30","2015","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"51st State: Master Set","192458","8","3","0","1","0","0","0","0","1","0","0","1","","","","","","35900355","7.11868","7.65132","2.9227","299","8127","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Portal Games","English","2016","English edition"
"51st State: Master Set – Pre-Order Promos","203888","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36364534","5.59138","7.84155","0","0","345","thing","51st State: Master Set – Pre-Order Promos","1","6","90","90","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders","68448","6","8","0","0","0","0","0","0","1","0","0","3","","","","","","29211145","7.64024","7.74247","2.3266","73","116519","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","6","3","0","0","0","0","0","0","1","0","0","3","","","","","","30441648","7.98258","8.10966","2.2228","16","102750","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders: Babel","154638","0","","0","0","0","0","0","0","1","0","0","3","","","","","","29303120","6.51044","6.9874","2.6423","0","13366","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Cities","111661","0","","0","0","0","0","0","0","1","0","0","3","","","","","","29303118","7.46424","7.83373","2.3517","0","27402","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","0","","0","0","0","0","0","0","1","0","0","3","","","","","","29519864","7.54476","7.8327","2.2777","0","32328","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Wonder Pack","133993","0","","0","0","0","0","0","0","1","0","0","3","","","","","","45548960","7.07296","7.59976","2.2887","0","17185","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent","180263","0","","0","0","0","0","0","0","0","0","0","2","","","","","","36405930","7.76998","8.09488","2.8776","39","32142","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: Classic Edition","283317","7.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","71330828","6.29164","7.96862","3.1","1487","2230","thing","The 7th Continent: Classic Edition","1","4","1000","1000","5","2019","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: Classic Edition","283317","0","5","0","0","0","0","0","0","0","0","0","3","","","","","","71330832","6.29164","7.96862","3.1","1487","2230","thing","The 7th Continent: Classic Edition","1","4","1000","1000","5","2019","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below","172818","8","6","0","1","0","0","0","0","0","0","0","3","","","","","","33690283","7.16015","7.41142","2.5243","269","20677","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below: Desert Labyrinth and Underforest Encounter Book","229085","0","","0","1","0","0","0","0","0","0","0","3","","","","","","43552726","5.81753","8.0667","2.6","0","1608","thing","Above and Below: Desert Labyrinth and Underforest Encounter Book","2","4","0","0","0","2015","2,3,4","3","8+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Above and Below: Groves","213992","0","","0","1","0","0","0","0","0","0","0","3","","","","","","40099355","5.67862","7.05116","3","0","1555","thing","Above and Below: Groves","2","4","120","120","60","2016","2,3,4","3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Above and Below: Watch It Played Building promo card","208201","0","","0","1","0","0","0","0","0","0","0","3","","","","","","43552725","5.53973","7.56061","0","0","293","thing","Above and Below: Watch It Played Building promo card","2","4","120","120","90","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
